Red,X,Y,Z,x,y
115,117.0897,52.3033,0.1319,0.6907,0.3085
114,114.5133,51.1422,0.1361,0.6907,0.3085
113,112.0127,50.0303,0.1337,0.6907,0.3085
112,109.8895,49.0846,0.1275,0.6907,0.3085
111,107.0857,47.8328,0.1249,0.6907,0.3085
110,104.9657,46.8851,0.1229,0.6907,0.3085
109,102.4208,45.7439,0.1271,0.6907,0.3085
108,100.0839,44.7043,0.1183,0.6907,0.3085
107,97.7404,43.6552,0.1161,0.6907,0.3085
106,95.5497,42.6792,0.1075,0.6907,0.3085
105,93.4165,41.7244,0.1055,0.6907,0.3085
104,91.1902,40.732,0.1165,0.6906,0.3085
103,89.0172,39.7582,0.108,0.6907,0.3085
102,86.9214,38.8223,0.0995,0.6907,0.3085
101,84.8746,37.9076,0.0975,0.6907,0.3085
100,82.8408,36.9975,0.1022,0.6907,0.3085
99,80.8115,36.0946,0.0872,0.6907,0.3085
98,78.8753,35.2246,0.0919,0.6907,0.3085
97,76.9501,34.3641,0.0901,0.6907,0.3085
96,75.2705,33.6194,0.0951,0.6907,0.3085
95,73.1372,32.662,0.08,0.6908,0.3085
94,71.2938,31.8393,0.0848,0.6907,0.3085
93,69.5058,31.0401,0.0832,0.6907,0.3085
92,67.7508,30.2623,0.0815,0.6907,0.3085
91,65.965,29.4654,0.0667,0.6908,0.3085
90,64.2589,28.6967,0.0717,0.6908,0.3085
89,62.5992,27.9565,0.0702,0.6907,0.3085
88,61.1077,27.2942,0.0753,0.6907,0.3085
87,59.3086,26.4878,0.0671,0.6907,0.3085
86,57.7242,25.7806,0.0721,0.6907,0.3085
85,56.2159,25.1037,0.0625,0.6908,0.3085
84,54.6627,24.4131,0.0676,0.6907,0.3085
83,53.249,23.7838,0.0663,0.6907,0.3085
82,51.698,23.0835,0.0583,0.6908,0.3084
81,50.2953,22.4638,0.057,0.6907,0.3085
80,48.8395,21.8157,0.0621,0.6906,0.3085
79,47.4413,21.1838,0.0609,0.6907,0.3084
78,46.1005,20.5874,0.0531,0.6907,0.3085
77,44.762,19.9911,0.0518,0.6907,0.3085
76,43.461,19.4089,0.0506,0.6907,0.3085
75,42.1358,18.8197,0.0493,0.6907,0.3085
74,40.9145,18.2728,0.0482,0.6907,0.3085
73,39.7397,17.7447,0.0471,0.6907,0.3084
72,38.5118,17.1954,0.0394,0.6908,0.3085
71,37.3768,16.6935,0.0449,0.6907,0.3085
70,36.1776,16.1536,0.0438,0.6907,0.3084
69,34.9807,15.6209,0.0427,0.6907,0.3084
68,33.9585,15.166,0.0351,0.6908,0.3085
67,32.9607,14.7157,0.0342,0.6908,0.3084
66,31.8257,14.2113,0.0332,0.6908,0.3085
65,30.7328,13.7235,0.0452,0.6906,0.3084
64,29.9318,13.3651,0.0314,0.6908,0.3085
63,29.4008,13.1295,0.0374,0.6907,0.3084
62,28.8809,12.8985,0.0304,0.6908,0.3085
61,28.4347,12.6978,0.0353,0.6907,0.3084
60,27.9867,12.4986,0.0316,0.6907,0.3085
59,27.5187,12.2888,0.0344,0.6907,0.3084
58,27.1006,12.1014,0.034,0.6907,0.3084
57,26.6437,11.8975,0.0303,0.6908,0.3085
56,26.2466,11.7208,0.03,0.6907,0.3085
55,25.7488,11.498,0.0295,0.6908,0.3085
54,25.3108,11.3036,0.0291,0.6907,0.3085
53,24.8052,11.0785,0.0286,0.6907,0.3085
52,24.2035,10.8061,0.0248,0.6908,0.3084
51,23.532,10.5068,0.0274,0.6908,0.3084
50,22.7223,10.1438,0.0267,0.6908,0.3084
49,21.7842,9.7242,0.0258,0.6908,0.3084
48,20.8871,9.3248,0.0282,0.6907,0.3084
47,19.5596,8.7319,0.0237,0.6908,0.3084
46,18.2776,8.1604,0.0225,0.6907,0.3084
45,17.0132,7.5934,0.0181,0.6909,0.3084
44,15.8638,7.0808,0.0203,0.6908,0.3083
43,14.6492,6.5387,0.0159,0.6909,0.3084
42,13.5944,6.0706,0.0222,0.6905,0.3083
41,12.6019,5.6261,0.0195,0.6906,0.3083
40,11.6647,5.2087,0.0176,0.6906,0.3084
39,10.6977,4.7774,0.0167,0.6905,0.3084
38,9.8389,4.395,0.0169,0.6904,0.3084
37,9.0278,4.0325,0.0152,0.6904,0.3084
36,8.2734,3.6959,0.0107,0.6906,0.3085
35,7.5391,3.3691,0.0138,0.6903,0.3085
34,6.8745,3.0719,0.0103,0.6904,0.3085
33,6.1788,2.7602,0.0097,0.6905,0.3084
32,5.8104,2.5954,0.0112,0.6903,0.3084
31,5.1872,2.3178,0.0106,0.6902,0.3084
30,4.816,2.1531,0.0065,0.6904,0.3087
29,4.3727,1.9536,0.0089,0.6902,0.3084
28,4.0363,1.8056,0.0089,0.6899,0.3086
27,3.6414,1.6287,0.0108,0.6895,0.3084
26,3.3373,1.4928,0.0094,0.6896,0.3085
25,3.002,1.3415,0.0097,0.6896,0.3082
24,2.7513,1.2315,0.0068,0.6896,0.3087
23,2.4286,1.0864,0.0078,0.6894,0.3084
22,2.2312,0.998,0.0065,0.6896,0.3084
21,1.9512,0.8723,0.0063,0.6895,0.3083
20,1.7856,0.7994,0.0066,0.689,0.3085
19,1.559,0.6974,0.0052,0.6893,0.3084
18,1.4213,0.6364,0.0049,0.6891,0.3085
17,1.2212,0.5468,0.0051,0.6887,0.3084
16,1.1191,0.5012,0.0057,0.6883,0.3082
15,0.936,0.4194,0.0038,0.6886,0.3086
14,0.7816,0.3498,0.0029,0.689,0.3084
13,0.6481,0.2903,0.0031,0.6884,0.3083
12,0.5454,0.2443,0.0017,0.6892,0.3087
11,0.4408,0.1976,0.0018,0.6885,0.3086
10,0.3567,0.1599,0.0022,0.6875,0.3082
9,0.2839,0.1275,0.0019,0.6869,0.3084
8,0.2458,0.1104,0.0017,0.6869,0.3085
7,0.0049,0.0026,0.0008,0.5845,0.3171
6,0.0008,0.0008,0.0009,0.3133,0.3272
5,0.0007,0.0008,0.0008,0.322,0.3326
4,0.0007,0.0007,0.0008,0.3288,0.3101
3,0.0007,0.0007,0.0008,0.3,0.3263
2,0.0007,0.0007,0.0008,0.3129,0.3389
1,0.0008,0.0008,0.0009,0.3179,0.3363
0,0.0011,0.0011,0.001,0.3361,0.342
Green,X,Y,Z,x,y
255,157.6696,634.1989,53.2371,0.1866,0.7504
254,157.1183,631.6933,52.9926,0.1866,0.7504
253,156.5335,629.119,52.7156,0.1867,0.7504
252,155.6851,625.3856,52.3714,0.1868,0.7504
251,154.6656,620.7998,51.8931,0.1869,0.7503
250,153.4814,615.5857,51.3606,0.1871,0.7503
249,152.1677,609.7934,50.7697,0.1872,0.7503
248,150.8972,604.212,50.2375,0.1874,0.7503
247,149.612,598.5595,49.6664,0.1875,0.7502
246,148.3542,593.0431,49.1068,0.1877,0.7502
245,147.1255,587.5965,48.5815,0.1878,0.7502
244,145.8317,581.9253,48.0041,0.188,0.7501
243,144.6026,576.5408,47.4768,0.1881,0.7501
242,143.3394,571.0283,46.9438,0.1883,0.7501
241,142.1075,565.5909,46.4049,0.1884,0.75
240,141.0979,561.1416,45.9404,0.1886,0.75
239,139.6578,554.9068,45.3645,0.1887,0.7499
238,138.4244,549.574,44.8371,0.1889,0.7499
237,137.2181,544.2745,44.3179,0.1891,0.7499
236,135.9388,538.741,43.7847,0.1892,0.7499
235,134.7207,533.4407,43.284,0.1894,0.7498
234,133.532,528.2618,42.7767,0.1895,0.7498
233,132.2542,522.7547,42.2374,0.1897,0.7497
232,131.0685,517.646,41.7547,0.1898,0.7497
231,129.9196,512.6526,41.286,0.19,0.7496
230,128.6762,507.2727,40.7649,0.1901,0.7496
229,127.4505,502.0178,40.2645,0.1903,0.7496
228,126.2722,496.9296,39.7696,0.1905,0.7495
227,125.0418,491.6788,39.3003,0.1906,0.7495
226,123.844,486.5504,38.7926,0.1908,0.7495
225,122.6713,481.5062,38.3236,0.1909,0.7494
224,121.5328,476.5408,37.8538,0.1911,0.7494
223,120.3079,471.2942,37.3528,0.1913,0.7493
222,119.1264,466.272,36.8967,0.1914,0.7493
221,117.9262,461.1582,36.4282,0.1916,0.7492
220,116.7451,456.1311,35.9453,0.1918,0.7492
219,115.5656,451.096,35.4695,0.1919,0.7492
218,114.4394,446.2859,35.0193,0.1921,0.7491
217,113.1905,441.0369,34.5504,0.1922,0.7491
216,112.0197,436.0355,34.0875,0.1924,0.749
215,110.9114,431.2868,33.6437,0.1926,0.749
214,109.7149,426.2994,33.2064,0.1927,0.7489
213,108.5624,421.395,32.75,0.1929,0.7489
212,107.3902,416.4635,32.3126,0.1931,0.7488
211,106.2443,411.6101,31.856,0.1933,0.7488
210,105.0979,406.803,31.4114,0.1934,0.7487
209,103.9474,401.9594,30.9874,0.1936,0.7487
208,102.7991,397.1533,30.5625,0.1938,0.7486
207,101.6915,392.5105,30.1374,0.1939,0.7486
206,100.6719,388.1856,29.7635,0.1941,0.7485
205,99.4,382.9077,29.2748,0.1943,0.7485
204,98.2891,378.261,28.8697,0.1945,0.7484
203,97.1122,373.3482,28.4321,0.1947,0.7484
202,95.995,368.7465,28.0204,0.1948,0.7483
201,94.899,364.1354,27.6012,0.195,0.7483
200,93.7781,359.4565,27.2024,0.1952,0.7482
199,92.6512,354.8012,26.7906,0.1954,0.7481
198,91.5213,350.1228,26.391,0.1955,0.7481
197,90.4151,345.5502,25.9857,0.1957,0.748
196,89.2525,340.7662,25.58,0.1959,0.748
195,88.1288,336.084,25.149,0.1961,0.7479
194,87.0171,331.549,24.7752,0.1963,0.7478
193,85.9389,327.0922,24.3948,0.1965,0.7478
192,85.1013,323.6494,24.0888,0.1966,0.7477
191,84.0163,319.1817,23.7026,0.1968,0.7477
190,82.943,314.8083,23.3213,0.197,0.7476
189,81.9252,310.6291,22.9794,0.1972,0.7475
188,81.0578,307.0504,22.6677,0.1973,0.7475
187,80.1597,303.4451,22.3619,0.1975,0.7475
186,79.3305,300.0696,22.0948,0.1976,0.7474
185,78.5681,296.9044,21.8207,0.1978,0.7473
184,77.8054,293.823,21.5651,0.1979,0.7473
183,77.054,290.7884,21.3094,0.198,0.7472
182,76.3181,287.7963,21.0477,0.1981,0.7472
181,75.5884,284.8239,20.7917,0.1983,0.7472
180,74.8933,281.9824,20.5685,0.1984,0.7471
179,74.1396,278.9254,20.2932,0.1986,0.7471
178,73.5927,276.6869,20.1263,0.1987,0.747
177,72.7196,273.2101,19.8334,0.1988,0.747
176,72.0154,270.3374,19.5964,0.199,0.7469
175,71.2814,267.408,19.3605,0.1991,0.7468
174,70.586,264.5692,19.1169,0.1992,0.7468
173,70.0507,262.4173,18.9498,0.1993,0.7467
172,69.1447,258.8025,18.6509,0.1995,0.7467
171,68.4371,255.9789,18.4205,0.1996,0.7467
170,67.7702,253.2378,18.1968,0.1998,0.7466
169,67.0663,250.4491,17.953,0.1999,0.7466
168,66.3891,247.7215,17.7484,0.2001,0.7465
167,65.8405,245.5354,17.5487,0.2002,0.7465
166,64.993,242.1587,17.2814,0.2003,0.7464
165,64.4875,240.0764,17.1202,0.2005,0.7463
164,63.5934,236.5972,16.8466,0.2006,0.7463
163,62.9637,234.0746,16.6285,0.2007,0.7463
162,62.2454,231.223,16.4049,0.2009,0.7462
161,61.5793,228.5661,16.2001,0.201,0.7461
160,60.9155,225.9732,15.9819,0.2011,0.7461
159,60.3246,223.5647,15.7894,0.2013,0.746
158,59.5619,220.569,15.5531,0.2014,0.746
157,58.8854,217.9116,15.3484,0.2016,0.7459
156,58.2354,215.2979,15.124,0.2017,0.7459
155,57.5448,212.6042,14.9126,0.2019,0.7458
154,56.9256,210.1535,14.7334,0.202,0.7457
153,56.2502,207.4908,14.5153,0.2022,0.7457
152,55.589,204.8889,14.3104,0.2023,0.7456
151,55.057,202.7462,14.1429,0.2025,0.7455
150,54.2892,199.7979,13.9259,0.2026,0.7455
149,53.6726,197.3749,13.7205,0.2027,0.7455
148,53.0121,194.7986,13.5281,0.2028,0.7454
147,52.3748,192.3052,13.3292,0.203,0.7453
146,51.7506,189.8358,13.1368,0.2032,0.7453
145,51.1111,187.3525,12.9445,0.2033,0.7452
144,50.5002,184.9365,12.7715,0.2035,0.7451
143,49.8597,182.4628,12.5592,0.2036,0.7451
142,49.2304,180.0505,12.3729,0.2037,0.7451
141,48.6135,177.639,12.2066,0.2039,0.7449
140,47.986,175.2376,12.0201,0.204,0.7449
139,47.388,172.8842,11.8273,0.2042,0.7449
138,46.7727,170.4931,11.6476,0.2043,0.7448
137,46.1716,168.1569,11.4806,0.2045,0.7447
136,45.648,166.128,11.3125,0.2046,0.7447
