Red,X,Y,Z,x,y
244,122.1236,461.6346,40.1695,0.1957,0.7399
243,121.0725,457.1613,39.6836,0.1959,0.7398
242,120.0504,452.9005,39.2105,0.1961,0.7398
241,119.1128,448.8902,38.78,0.1963,0.7398
240,117.8635,443.7325,38.2312,0.1965,0.7398
239,116.7599,439.1522,37.7695,0.1967,0.7397
238,115.6763,434.6199,37.2831,0.1969,0.7397
237,114.6306,430.3083,36.8098,0.197,0.7397
236,113.8135,426.8162,36.4293,0.1972,0.7396
235,112.5626,421.6763,35.9055,0.1974,0.7396
234,111.633,417.7905,35.4935,0.1976,0.7396
233,110.4987,413.1347,35.0011,0.1978,0.7395
232,109.5423,409.1375,34.583,0.198,0.7395
231,108.3335,404.2112,34.0836,0.1982,0.7395
230,107.2569,399.7714,33.6157,0.1984,0.7394
229,106.4307,396.3186,33.26,0.1986,0.7394
228,105.3802,392.0029,32.8227,0.1988,0.7393
227,104.3747,387.822,32.3862,0.199,0.7393
226,103.0917,382.6553,31.8617,0.1992,0.7393
225,102.2058,378.9672,31.475,0.1994,0.7392
224,100.9792,374.0377,30.9817,0.1996,0.7392
223,99.972,369.8754,30.5632,0.1998,0.7391
222,99.0392,366.0421,30.1759,0.2,0.7391
221,97.9645,361.7088,29.7447,0.2002,0.7391
220,96.9285,357.4964,29.3142,0.2004,0.739
219,95.9347,353.4164,28.9143,0.2006,0.739
218,94.9445,349.4076,28.5084,0.2008,0.7389
217,93.7978,344.8008,28.0462,0.201,0.7389
216,92.9099,341.1921,27.7079,0.2012,0.7388
215,91.9495,337.2907,27.3085,0.2014,0.7388
214,90.7389,332.4761,26.8399,0.2016,0.7387
213,89.7771,328.5964,26.4767,0.2018,0.7387
212,88.7679,324.5542,26.0707,0.202,0.7386
211,87.9182,321.0649,25.7208,0.2022,0.7386
210,86.8914,316.961,25.3267,0.2025,0.7385
209,85.8296,312.7455,24.9264,0.2027,0.7385
208,84.8501,308.8493,24.5514,0.2029,0.7384
207,83.8492,304.8369,24.1694,0.2031,0.7384
206,82.7874,300.6167,23.7751,0.2033,0.7383
205,81.7632,296.5801,23.3875,0.2035,0.7383
204,80.8985,293.1163,23.0619,0.2037,0.7382
203,79.8108,288.8227,22.6615,0.204,0.7381
202,78.8462,284.9888,22.3044,0.2042,0.738
201,77.8954,281.2562,21.9418,0.2044,0.738
200,76.9003,277.3139,21.5726,0.2046,0.738
199,75.907,273.4389,21.2216,0.2048,0.7379
198,74.9686,269.7569,20.8714,0.2051,0.7379
197,73.9941,265.9036,20.5206,0.2053,0.7378
196,73.1503,262.586,20.2136,0.2055,0.7377
195,72.1868,258.834,19.869,0.2057,0.7377
194,71.1479,254.7601,19.5055,0.206,0.7376
193,70.2845,251.3789,19.1924,0.2062,0.7375
192,69.2484,247.3972,18.8231,0.2064,0.7375
191,68.428,244.1729,18.5468,0.2066,0.7374
190,67.4317,240.323,18.2019,0.2069,0.7373
189,66.5392,236.8362,17.8886,0.2071,0.7372
188,65.5238,232.9549,17.5436,0.2073,0.7371
187,64.6242,229.4385,17.2361,0.2076,0.737
186,63.8031,226.2443,16.9479,0.2078,0.737
185,62.8116,222.4666,16.6095,0.2081,0.7369
184,61.8605,218.8376,16.2896,0.2083,0.7369
183,61.095,215.8987,16.0322,0.2085,0.7368
182,60.0625,211.9481,15.6994,0.2088,0.7367
181,59.1552,208.5072,15.4042,0.209,0.7366
180,58.3664,205.5144,15.1407,0.2092,0.7366
179,57.395,201.7928,14.8086,0.2095,0.7365
178,56.5405,198.4994,14.5382,0.2097,0.7363
177,55.5861,194.9334,14.2307,0.21,0.7363
176,54.8632,192.1416,13.9919,0.2102,0.7362
175,53.9138,188.5484,13.6964,0.2105,0.7361
174,53.0308,185.2208,13.4078,0.2107,0.736
173,52.1011,181.7531,13.1127,0.211,0.7359
172,51.3543,178.9399,12.874,0.2112,0.7359
171,50.4881,175.6519,12.6035,0.2115,0.7357
170,49.5839,172.2843,12.3269,0.2117,0.7356
169,48.7696,169.2277,12.0694,0.212,0.7356
168,47.898,166.0072,11.8053,0.2122,0.7355
167,47.0996,163.0224,11.5661,0.2125,0.7354
166,46.2337,159.7964,11.308,0.2127,0.7352
165,45.4262,156.7755,11.0565,0.213,0.7351
164,44.5752,153.6261,10.7988,0.2133,0.7351
163,43.7475,150.5814,10.5591,0.2135,0.7349
162,42.9728,147.7061,10.3203,0.2138,0.7349
161,42.05,144.3151,10.0617,0.2141,0.7347
160,41.2373,141.3097,9.8164,0.2144,0.7346
159,40.2137,137.574,9.5205,0.2147,0.7345
158,39.3613,134.4486,9.2749,0.215,0.7344
157,38.2569,130.4308,8.9599,0.2154,0.7342
156,37.2726,126.8621,8.6827,0.2157,0.7341
155,36.2684,123.2306,8.3871,0.216,0.734
154,35.2475,119.5123,8.1154,0.2164,0.7338
153,34.2065,115.7263,7.8254,0.2168,0.7336
152,33.2167,112.168,7.5542,0.2172,0.7334
151,32.2654,108.7521,7.2956,0.2175,0.7333
150,31.2314,105.0567,7.018,0.2179,0.7331
149,30.2623,101.583,6.7531,0.2183,0.7329
148,29.3747,98.4065,6.5316,0.2187,0.7327
147,28.3922,94.9436,6.2668,0.2191,0.7326
146,27.4463,91.5691,6.0144,0.2195,0.7324
145,26.5667,88.4535,5.793,0.2199,0.7322
144,25.6514,85.2221,5.5531,0.2203,0.732
143,24.7532,82.0854,5.3196,0.2207,0.7319
142,23.8699,78.9798,5.0983,0.2211,0.7316
141,23.019,76.0074,4.8955,0.2215,0.7314
140,22.1687,73.0567,4.6747,0.2219,0.7313
139,21.3358,70.1494,4.4782,0.2223,0.731
138,20.5064,67.2885,4.2758,0.2227,0.7308
137,19.6952,64.4975,4.0736,0.2231,0.7307
136,18.9438,61.8936,3.8999,0.2236,0.7304
135,18.1399,59.1396,3.71,0.224,0.7302
134,17.3946,56.593,3.5389,0.2244,0.73
133,16.6607,54.0897,3.3618,0.2248,0.7298
132,15.9716,51.7433,3.2034,0.2252,0.7296
131,15.2386,49.2649,3.0446,0.2256,0.7293
130,14.5678,46.9908,2.8864,0.2261,0.7292
129,13.8954,44.7269,2.7403,0.2264,0.7289
128,13.2325,42.5066,2.5944,0.2268,0.7287
127,12.5911,40.3412,2.4486,0.2274,0.7284
126,11.9799,38.3041,2.3154,0.2278,0.7282
125,11.3846,36.3275,2.1944,0.2281,0.7279
124,10.7983,34.3845,2.0675,0.2285,0.7277
123,10.2213,32.4802,1.9407,0.229,0.7276
122,9.6865,30.7087,1.8313,0.2294,0.7272
121,9.179,29.0466,1.7203,0.2298,0.7271
120,8.6614,27.3499,1.6184,0.2302,0.7268
119,8.1518,25.6831,1.5105,0.2306,0.7266
118,7.6435,24.025,1.4086,0.2311,0.7263
